,Unnamed: 0,Claim_ID,Claim_Date,Policyholder_ID,Claim_Amount,Suspicious_Flags,Fraud_Label,Claim_Type_Home Damage,Claim_Type_Medical,Claim_Type_Vehicle,Claim_Year,Claim_Month,Claim_Day,Annual_Income,Claim_to_Income_Ratio,Policy_Issuance_Date,Days_Since_Issuance,Short_Period_Claim,Elliptic_Anomaly,Isolation_Anomaly,LOF_Anomaly,Fraud_Probability_Score,policy_issue_Year,policy_issue_Month,policy_issue_Day
46,46,118a9d29-2f92-4996-99f1-95d014822f53,2023-02-24,675dd5af-3c36-4296-9ca0-2eecacdabacc,33614.4,0,0,0,1,0,2023,2,24,36438,0.9225094681376586,2021-07-10,594,False,Anomaly,1,Anomaly,0.0,2021,7,10
47,47,91d63f78-e3e9-4e99-b10c-718b1eb0e38a,2021-05-27,14fcdd54-9e8f-4965-8a2c-827e98326856,44177.96,0,0,1,0,0,2021,5,27,165086,0.2676057327695867,2019-09-20,615,False,Normal,0,Normal,0.0,2019,9,20
48,48,90b2b633-956b-4c0c-a849-9b926b5252e3,2022-10-15,ab73295b-344a-44b8-82c1-8a62ef48e8d5,40471.1,1,1,0,1,0,2022,10,15,183434,0.2206303084488153,2022-06-09,128,True,Normal,0,Normal,0.0,2022,6,9
49,49,43ff5011-3d1a-45dd-906e-5a9ab758588d,2022-02-25,750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,33119.65,0,0,0,0,1,2022,2,25,126514,0.2617864426071423,2021-04-26,305,True,Normal,0,Normal,0.0,2021,4,26
50,50,ef8c485b-c07a-40f2-add4-253b50f0fd0a,2020-07-14,902059e4-ff9a-45c2-9f04-4aed75523327,36589.25,0,0,1,0,0,2020,7,14,156247,0.2341756961733665,2019-09-11,307,True,Normal,0,Normal,0.0,2019,9,11
51,51,89a2688b-12c1-46e0-9998-5f15ff002d4d,2021-03-28,5958a499-eeea-463e-a1e8-ac6843e42caf,3500.33,0,0,1,0,0,2021,3,28,169788,0.0206158856927462,2018-07-28,974,False,Normal,1,Normal,0.0,2018,7,28
52,52,3e896c64-e117-4ac3-919c-4ea3e1805081,2022-01-08,8b10550c-d570-4f32-b02c-dd20286218b8,12808.49,0,0,0,1,0,2022,1,8,121279,0.1056117712052375,2021-11-20,49,True,Normal,1,Normal,0.0,2021,11,20
53,53,fbddcf7c-9c96-49ec-8d71-c366b41b3143,2025-02-09,aaf91531-0200-41f0-8768-a84fa76afde6,9582.66,1,0,0,0,1,2025,2,9,196030,0.048883640259144,2023-11-09,458,False,Normal,1,Normal,0.0,2023,11,9
54,54,ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,2023-06-29,43b409ef-2260-470f-a0cc-edc5f05db76e,22434.97,1,0,1,0,0,2023,6,29,179066,0.1252888320507522,2021-05-25,765,False,Normal,0,Normal,0.0866376153621879,2021,5,25
55,55,be0f051b-1b66-45a9-a3c4-36571d8cbbac,2022-12-09,35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,27259.1,0,0,0,1,0,2022,12,9,120529,0.2261621684407901,2022-05-04,219,True,Normal,0,Normal,0.0702491459355754,2022,5,4
56,56,afffcfd2-341e-440b-97c7-00aab7b56ea7,2023-05-06,40497b71-7d10-4c60-8162-7cf1439472e6,42510.44,0,0,0,1,0,2023,5,6,189746,0.2240386622115881,2021-09-05,608,False,Normal,0,Normal,0.0,2021,9,5
57,57,0d01280f-d89a-40c0-a87d-1c78e7c421c7,2020-08-19,0b49452d-46d4-43f3-9450-281c6c6f7633,43300.19,1,1,0,1,0,2020,8,19,81175,0.5334178010471204,2018-06-13,798,False,Anomaly,0,Normal,0.0,2018,6,13
58,58,217d65a0-c568-41cd-9563-f61600e85ece,2023-05-12,711c21c9-bdc1-4f1f-a95d-6fbf430f801d,606.69,1,0,0,0,1,2023,5,12,82879,0.0073201896741032,2022-08-04,281,True,Normal,0,Normal,0.0,2022,8,4
59,59,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,2020-03-21,b0e6a969-e213-42b0-b1ee-dba313432e61,23022.91,0,0,0,0,1,2020,3,21,131725,0.1747801100778136,2019-02-06,409,False,Normal,0,Normal,0.0058539617868403,2019,2,6
60,60,093923de-8bab-4e3b-a628-6bfbe767dcea,2024-05-06,6e068097-25e9-4977-8d72-48e2951f58d0,39276.4,0,0,1,0,0,2024,5,6,180862,0.2171622563059128,2023-06-19,322,True,Normal,0,Normal,0.2640977299504863,2023,6,19
61,61,5d59cd2a-4eea-44e7-8ab5-4bde20a04502,2024-09-01,0a368ce7-dc57-4131-b8e1-daa7cbceabde,15187.04,0,0,0,1,0,2024,9,1,89956,0.1688274267419627,2022-09-02,730,False,Normal,0,Normal,0.0,2022,9,2
62,62,ae9bec36-35c7-436c-9b99-62c6e61fecc0,2021-06-02,8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3,37524.79,1,1,0,1,0,2021,6,2,97503,0.3848577992472026,2018-10-28,948,False,Normal,0,Normal,0.0,2018,10,28
63,63,f94d6204-6808-493f-9fed-2c43e256a6dc,2023-04-11,3c9ad14c-ee0c-4eb5-acfe-db992790cebd,24101.03,1,0,1,0,0,2023,4,11,127039,0.1897136312470973,2021-09-24,564,False,Normal,0,Normal,0.0259806474684029,2021,9,24
64,64,ccc56569-f9e8-4369-a999-b735dd56cc94,2024-03-24,2dea9493-0658-463a-a98c-206fe1a47e10,4465.52,1,0,0,1,0,2024,3,24,122229,0.0365340467483166,2023-09-25,181,True,Normal,0,Normal,0.0,2023,9,25
65,65,c84a7b28-550a-4b46-acab-3301bc8f7d29,2024-10-29,bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,43160.05,1,1,0,0,1,2024,10,29,78523,0.5496485106274595,2024-01-03,300,True,Anomaly,0,Anomaly,0.0,2024,1,3
66,66,28c13091-444d-410b-bf87-e362cf8d446a,2024-02-10,09e9db0a-df46-4290-a1ee-411a1bac27a7,44569.22,0,1,0,1,0,2024,2,10,140243,0.3177999614954044,2023-12-07,65,True,Normal,1,Normal,0.825069557304114,2023,12,7
67,67,33173470-38f1-4a81-b87f-2425dbccc477,2024-04-03,d20eac17-4e20-4d1a-9983-36e375d66ed4,4558.18,0,0,1,0,0,2024,4,3,197924,0.0230299508902407,2023-03-21,379,False,Normal,0,Normal,0.0514641314993526,2023,3,21
68,68,39118497-3a43-42ba-9f0f-06cbcb9bc326,2020-04-16,475287aa-5408-49ac-a601-ddd03170f437,46767.96,0,0,0,1,0,2020,4,16,44911,1.041347554051346,2018-11-10,523,False,Anomaly,1,Anomaly,0.0,2018,11,10
69,69,c5f8bc16-f786-4b50-91c5-8ef0dd463c09,2021-07-26,adf4e62d-6651-429e-8268-690ba43825b5,13647.92,0,0,0,1,0,2021,7,26,90655,0.1505479013843693,2020-08-01,359,True,Normal,0,Normal,0.0,2020,8,1
70,70,54c63cd8-8945-4f27-97fa-2d8dfb2ca025,2024-11-13,42deffcc-f86c-4ca2-a085-96db1d870966,16150.77,1,0,0,1,0,2024,11,13,35586,0.4538517956499747,2023-05-05,558,False,Anomaly,0,Anomaly,0.0904425411407478,2023,5,5
71,71,fbc9f87a-f668-4617-94a1-875d2db69edb,2021-07-02,587ef344-6f3f-420c-98b8-e4cc1bc044fc,28368.19,1,0,0,1,0,2021,7,2,104717,0.2709033872246149,2020-03-12,477,False,Normal,0,Normal,0.0,2020,3,12
72,72,6fb78271-504d-481f-8953-5b63ba81edd9,2023-03-16,e645f129-629c-4ae3-9d9a-f65982ec9f2d,13627.42,0,0,0,0,1,2023,3,16,183118,0.074418790069791,2021-11-16,485,False,Normal,0,Normal,0.0119336184550746,2021,11,16
73,73,0b5cea6a-4135-4e8c-b0a9-00ad939b462d,2023-09-19,ce777f00-ecf2-4e76-8519-7ff4006ed6e3,18791.59,0,0,0,1,0,2023,9,19,158227,0.1187634853722816,2021-09-10,739,False,Normal,0,Normal,0.0,2021,9,10
74,74,f0b5156b-b82c-4074-afd5-dea589d7fd6c,2023-11-19,6e6981a3-5d3d-4e56-b270-e4faabae4f43,15474.6,0,0,1,0,0,2023,11,19,137849,0.1122576152166501,2022-12-26,328,True,Normal,0,Normal,0.0,2022,12,26
75,75,ebb7a385-aa0b-4b14-b2e9-702d11e9cdaa,2021-10-28,1fe771d6-d917-4793-a9d3-c2e6505cc686,27952.81,1,0,1,0,0,2021,10,28,106369,0.2627909447301375,2020-06-17,498,False,Normal,0,Normal,0.0,2020,6,17
76,76,81d2c7de-4ce1-4b90-a669-7833b841d0a0,2021-09-20,b27c4026-6703-4636-9380-b904688c7015,13591.06,0,0,0,1,0,2021,9,20,169355,0.0802518969029553,2020-10-13,342,True,Normal,0,Normal,0.0319283374514721,2020,10,13
77,77,311c6eb6-2095-4ef6-8ded-f9fb4bb00f20,2022-04-11,bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,14446.94,0,0,0,1,0,2022,4,11,128607,0.1123340098128406,2019-12-30,833,False,Normal,0,Normal,0.0,2019,12,30
78,78,91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,2021-09-04,4dcabfb7-001a-4a8b-956f-03508c459ce2,31894.78,0,0,0,0,1,2021,9,4,152226,0.2095225519950599,2020-10-18,321,True,Normal,0,Normal,0.7093648722857104,2020,10,18
79,79,c9277d9b-6e0d-4648-b5ce-884149732d6c,2023-01-27,7118e364-7709-4749-927e-ecfaa79ac9aa,45453.87,1,1,0,1,0,2023,1,27,74502,0.6101026818071998,2022-01-16,376,False,Anomaly,1,Anomaly,0.0,2022,1,16
80,80,82dc4c8e-36b5-429a-acf5-e81e71316269,2022-07-16,bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,21467.0,1,0,0,0,1,2022,7,16,184189,0.1165487624125219,2021-02-08,523,False,Normal,0,Normal,0.0,2021,2,8
81,81,48a639d0-15b5-4908-a8aa-71582b70e525,2022-10-01,17e8392a-55ce-45db-9e87-e04ca2086977,6975.57,1,0,0,0,1,2022,10,1,73368,0.095076463853451,2021-06-04,484,False,Normal,0,Normal,0.0,2021,6,4
82,82,3c20592f-c04a-46c4-b3b6-3fe1d1843324,2023-07-16,25b8fd4b-32fa-4de8-8e7a-e7f639820cff,35430.54,1,1,1,0,0,2023,7,16,172174,0.2057833354629619,2023-04-05,102,True,Normal,0,Normal,0.0,2023,4,5
83,83,fbe33b24-3eae-4032-8bd4-a9900640be0f,2022-07-20,74962764-12a4-4ef0-84bb-b7a9d98868dd,4224.57,0,0,1,0,0,2022,7,20,143870,0.0293638006533676,2022-02-05,165,True,Normal,0,Normal,0.0,2022,2,5
84,84,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,2021-02-22,664fa663-7e8f-4095-a24c-69b6b24445a7,41812.45,0,0,1,0,0,2021,2,22,65751,0.6359211266748794,2020-08-08,198,True,Anomaly,0,Anomaly,0.0,2020,8,8
85,85,b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,2020-03-14,e2add909-c521-4f2d-9c45-d539c03f3538,2570.53,0,0,0,0,1,2020,3,14,45245,0.0568135705602829,2017-06-22,996,False,Normal,1,Anomaly,0.0,2017,6,22
86,86,3805f907-6cd6-4193-8746-8f591b494e15,2021-01-19,76ecbdd6-8498-4113-b227-462cf53d4330,43104.78,1,1,0,0,1,2021,1,19,171959,0.250668938526044,2019-02-20,699,False,Normal,0,Normal,0.5026801887592349,2019,2,20
87,87,eadf5085-3fcb-4546-8eb2-25790cdb1ca4,2024-05-31,76f2dbfe-cd29-436f-a222-82e174daaebf,12851.72,0,0,0,1,0,2024,5,31,32950,0.3900370257966616,2023-05-12,385,False,Anomaly,1,Anomaly,0.0,2023,5,12
88,88,8f15ba58-fce6-4504-87f8-424daae65fc1,2023-02-24,714c7df4-e434-4d51-8158-1092f335cba3,43798.28,0,0,1,0,0,2023,2,24,89172,0.4911662853810613,2020-08-31,907,False,Anomaly,0,Normal,0.6966860893249127,2020,8,31
89,89,e45b712e-b822-4688-90a4-44329cd6c852,2022-09-12,722764e6-8c41-461b-a827-a1b9d4a02e53,12218.5,0,0,0,1,0,2022,9,12,84430,0.1447175174700935,2022-05-17,118,True,Normal,0,Normal,0.0,2022,5,17
90,90,dc8aee30-be60-43f7-a8be-9288e5af6e39,2022-07-19,d701410d-3f4b-4a70-8074-718e425a609f,44130.1,1,1,0,1,0,2022,7,19,97487,0.4526767671586981,2020-08-07,711,False,Normal,0,Normal,0.0,2020,8,7
91,91,c715b2b9-c40c-4d91-86fd-e062a33dc7af,2022-10-12,709b7d97-464c-44af-bd3f-3799a07295e9,46262.12,0,1,0,0,1,2022,10,12,163012,0.283795794174662,2020-04-17,908,False,Normal,0,Normal,0.0,2020,4,17
92,92,3c07c574-4925-4af1-b6aa-e05b13d5f2f7,2021-07-13,14a0bccb-8a47-4a87-a49d-681d51d87c64,43271.17,1,1,0,1,0,2021,7,13,85722,0.5047848860269242,2020-06-17,391,False,Anomaly,0,Normal,0.0,2020,6,17
93,93,620e99d3-3b33-43d8-a69c-d696236c7b87,2023-08-23,6a34c854-1071-4d51-b6c5-9dacb4d7e28e,39475.04,0,1,0,1,0,2023,8,23,108350,0.3643289340101523,2021-02-19,915,False,Normal,0,Normal,0.0,2021,2,19
94,94,7746d0ba-8ae8-405b-94b4-a48268586eba,2022-04-02,63b4c08b-6b8e-469f-9538-5b0e34f3193c,23799.16,0,0,0,1,0,2022,4,2,119398,0.1993262868724769,2019-07-13,994,False,Normal,1,Normal,0.0,2019,7,13
95,95,f2311f17-9586-4a76-8511-55ffe7a37e81,2023-08-26,9360715f-c3fe-4183-a172-b725db52ca58,15606.95,1,0,0,1,0,2023,8,26,160778,0.0970714276828919,2021-02-19,918,False,Normal,0,Normal,0.0,2021,2,19
96,96,f1578470-0182-47c4-ba1b-58066160a6b4,2021-12-06,e4429ebb-da7b-4095-a3d6-2a39c0e3befd,20224.07,0,0,0,0,1,2021,12,6,193973,0.1042622942368267,2020-12-19,352,True,Normal,0,Normal,0.3763570149862081,2020,12,19
97,97,89c8d2ab-6b44-4a8d-95f2-5073f41402b1,2023-11-29,e5d6f6e6-9a6e-42f5-8cc4-29038bcf53a1,14316.69,0,0,1,0,0,2023,11,29,75904,0.188615751475548,2023-08-29,92,True,Normal,0,Normal,0.0,2023,8,29
98,98,45df16b6-382c-443f-bcfc-9b793875394c,2022-05-09,ab3b4d37-560c-45ee-a38c-254c076e2bba,42261.23,0,1,0,0,1,2022,5,9,105991,0.3987247030408242,2022-01-26,103,True,Normal,0,Normal,0.0,2022,1,26
99,99,b963f37f-6781-4c1f-8c53-0e36addc3e13,2020-12-30,fb10987f-20ac-4703-ab67-146a77a6e17c,6209.42,1,0,0,0,1,2020,12,30,171747,0.0361544597576668,2019-09-20,467,False,Normal,1,Anomaly,0.0,2019,9,20
100,100,e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,2022-02-21,157d94a1-06f0-48ff-a9ba-5a27907bfe36,13640.58,0,0,0,1,0,2022,2,21,176469,0.077297315675841,2020-09-02,537,False,Normal,0,Normal,0.0,2020,9,2
