Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Vehicle_Age_Property_Age,Claim_History,Premium_Amount,Claim_Amount,Risk_Score,Fraudulent_Claim
287d06ca-6f4c-469a-8b22-d3081c8eaee9,43,Female,Life,175583.53,30,2,2080.16,25470.28,Low,0
b8db0672-f42d-47cc-80d4-af5974273ca3,61,Other,Life,189062.69,3,2,1303.56,48126.72,Medium,1
f8cda88b-436d-46e2-b83c-fe0be037e5ed,34,Male,Health,127382.83,11,5,4038.93,21819.69,High,0
81f76d1c-2dbc-4134-830f-f46e8026695f,80,Other,Health,89335.18,18,1,1646.25,35439.26,Medium,0
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,18,Other,Auto,85559.86,2,5,4643.47,31157.77,High,1
81f631d4-a392-41a7-9777-a4774c66e0a8,60,Male,Life,111282.05,21,3,1967.82,34860.42,High,1
5fb8d16c-2720-497d-b2eb-d6899be578c7,53,Male,Auto,95680.34,30,3,3547.93,45140.28,High,1
f4188f3f-8a14-4e62-a95b-4715c333e861,57,Other,Life,93093.53,26,0,1867.44,10509.13,Low,0
eb2263dd-87c5-421e-ac24-a3c5c754108f,68,Other,Life,103697.87,14,5,1461.66,23659.31,High,0
7d154385-52fb-443b-9954-6eb400257ad1,75,Other,Auto,138593.13,9,4,3487.34,30963.04,Medium,1
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,23,Male,Life,60435.32,6,1,609.91,12242.13,Low,0
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,48,Other,Health,101974.91,28,5,3090.52,35917.3,High,1
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,42,Female,Property,63917.2,20,5,524.95,37548.22,High,1
14296c07-f26b-4776-913e-4de2e0c53cb8,67,Male,Property,59391.4,25,5,2830.81,2510.92,High,0
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,33,Male,Property,44001.04,14,5,2890.09,27946.26,High,1
885f6e66-c2b6-42c5-ba5d-310011b7e948,38,Female,Property,169502.45,17,3,4537.44,37182.77,Medium,1
a8e56e0c-20de-435d-a031-d750c40db9b4,48,Female,Life,155319.82,26,5,1747.9,38883.74,High,1
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,49,Other,Auto,69427.54,2,5,1785.78,13585.76,High,0
9b49bd26-df57-459a-8715-a10343dac043,38,Other,Health,44907.33,7,3,3622.77,35320.96,High,1
edcd465e-3638-4821-b6e0-7cc06c52c49f,22,Female,Property,79558.65,14,3,780.2,41644.56,High,0
b09b2a5c-badc-432a-8159-0f538a0f4efb,42,Other,Health,174211.77,24,4,2211.71,294.8,Low,0
66245bfa-4fcc-439a-b683-d2e6337ea2df,40,Female,Property,173620.63,30,3,2921.99,36731.7,Medium,1
5f987c71-a65e-488e-abf3-ad39fec21bbe,69,Other,Auto,107881.31,8,3,2685.39,19442.86,Medium,0
7394988f-847f-49b4-a64d-1bcb702753a1,60,Other,Property,150352.65,26,3,4637.94,49036.1,High,1
1064005c-3985-43cf-bf76-be1d1efa2197,52,Male,Property,126540.7,21,0,877.76,21430.64,Low,0
8dcdcd03-969b-4662-8562-8059568cc69b,73,Female,Auto,29051.23,12,2,1452.47,16342.29,Medium,0
01d74256-3860-4ab6-96a4-02f23ae8cc93,66,Female,Life,155361.77,26,3,1635.22,4095.31,Low,0
0f1259e0-a18f-46b6-b535-106e122c9a56,19,Other,Health,199983.41,11,1,3425.65,39061.65,Low,0
080aadfb-e7c9-4b26-9141-25c63a9bedd4,59,Male,Health,190930.11,6,0,3296.01,11927.25,Low,0
839fbc50-1223-4513-9496-f63cdc1110c1,48,Other,Health,121514.52,6,3,3647.59,38344.9,High,1
7c441fe7-ab42-40a7-874a-493b3ceddf2d,28,Other,Health,160002.54,5,2,986.44,1283.92,Low,0
b92da22b-21df-406f-8a0b-3c3336d8393a,37,Other,Property,91397.8,22,1,841.98,34530.72,Medium,0
93829b43-922f-415a-a1e3-db63ef7ddc76,58,Male,Health,145494.74,9,5,3201.85,6052.75,Medium,0
7914c120-c8dc-419f-be35-11287900f7f9,80,Other,Health,82496.68,13,5,2167.57,25298.04,High,1
1825bc54-30be-445f-a835-14f2ceb81f9d,39,Male,Property,168019.57,3,3,4823.54,31779.26,Medium,1
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,71,Female,Auto,98387.69,23,4,4844.63,13504.12,Medium,0
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,69,Other,Property,103677.28,26,5,3166.14,16115.23,High,0
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,33,Male,Life,178693.61,7,3,3064.32,33409.42,Medium,0
0f844fef-1931-49ee-a56c-0941fbf24050,39,Male,Property,173171.51,5,3,1454.54,39891.62,Medium,1
ccf3a171-56dc-4907-ba6c-34ab6712303a,39,Female,Life,120042.39,16,1,885.26,36003.73,Low,0
310c0c00-3fa7-4104-9bf9-0e27dc96925e,49,Other,Auto,144309.68,20,5,2708.7,39646.64,High,1
23e2fcb4-72d8-467d-894a-05e430b187ef,23,Female,Auto,92792.2,7,2,3487.82,18451.02,Medium,0
766ecb15-474e-4c19-aef9-12766c006f61,53,Other,Life,96590.69,23,4,1988.56,35142.75,High,1
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,35,Female,Life,61496.85,23,1,1919.97,37144.05,Medium,0
db20a56e-dc81-4fe7-8eda-8bbb71710434,78,Other,Auto,54477.38,23,3,1744.25,29479.35,High,0
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,66,Other,Life,196491.91,26,1,1833.11,18044.05,Low,0
03c72ba8-d605-4770-8a63-f881ffd0f9d5,37,Male,Auto,69376.04,1,4,1814.61,47204.48,High,1
c0e9ab30-ed26-42e9-97e0-11b7f8102383,58,Female,Health,177089.55,18,2,2612.29,22023.44,Low,0
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,29,Male,Life,189391.45,15,0,4199.52,20035.37,Low,0
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,22,Other,Health,47310.86,25,4,4771.07,4259.05,High,0
2a25a888-0f02-4ad0-a706-7ef466aa9385,33,Male,Property,129137.18,25,4,1515.59,26128.63,Medium,0
63f2ae24-fc3d-4348-808d-4127610461e3,46,Female,Life,174830.0,13,2,3058.83,3011.52,Low,0
c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,79,Other,Health,190566.24,6,5,1449.61,33021.41,Medium,1
b253d218-6c4a-47ea-8906-17f2747b6dba,28,Male,Auto,119358.6,5,0,2338.33,34468.56,Low,0
c88a618e-fed4-457d-bb02-6576f512c4c3,48,Female,Health,61665.72,22,2,3663.44,22701.57,Medium,0
7c967f79-b7e9-4aca-a970-65e18e46d534,61,Male,Life,161809.04,20,4,3475.32,46683.42,High,1
37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,45,Male,Auto,136574.25,29,2,4219.84,3570.49,Low,0
bc594585-9445-48c0-8ef8-c2d6f7fd5646,28,Female,Life,99047.62,14,5,1868.41,20125.43,High,0
504867ba-bf7b-439b-8f9a-ea4b8acd4e10,35,Other,Property,98796.6,19,0,4502.4,36726.7,Low,0
7a0ecfea-958c-49ba-8cd6-20c20ea2622b,56,Female,Health,36438.84,30,5,4261.81,28759.96,High,1
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,78,Male,Life,123724.46,24,1,2617.25,32575.47,Medium,0
82010c62-f5f5-4b22-8e8f-a8e0284d82e5,76,Female,Auto,199450.19,13,5,4164.1,48452.76,High,1
118a9d29-2f92-4996-99f1-95d014822f53,48,Female,Property,79995.51,21,0,4359.8,16490.18,Low,0
dca02eec-acda-4acc-9165-e21098543881,62,Female,Life,139265.04,12,4,665.14,4402.99,Low,0
f10c718b-1eb0-438a-a75d-d5af3c365296,34,Female,Health,194633.25,12,4,4212.17,57.55,Low,0
94340a03-3f07-4814-91d6-3f78e3e9de99,73,Other,Property,94384.56,6,4,2128.01,37822.16,High,1
14fcdd54-9e8f-4965-8a2c-827e98326856,58,Female,Health,56640.48,17,1,4674.53,21905.8,Medium,0
90b2b633-956b-4c0c-a849-9b926b5252e3,62,Female,Health,25196.5,20,4,4096.91,35489.14,High,1
42c18a62-ef48-48d5-90fd-9d3f85d51695,37,Other,Health,119405.25,2,1,4965.16,45646.49,Medium,1
506e5a9a-b758-488d-ab73-295b344a54b8,47,Male,Auto,109707.59,22,2,2789.92,13671.24,Medium,0
21813d25-6552-48a6-83ff-50113d1a85dd,71,Female,Property,63871.56,17,1,2226.14,46093.41,Medium,1
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,50,Other,Auto,175524.85,8,3,2029.44,39385.87,Medium,1
ef8c485b-c07a-40f2-add4-253b50f0fd0a,35,Male,Life,150689.18,26,4,3109.66,32997.04,High,1
9f044aed-7552-4327-8262-7f7312922f83,73,Male,Property,116944.5,11,2,2983.63,27171.5,Medium,0
19985f15-ff00-4d4d-9020-59e4ff9ab5c2,47,Female,Auto,196539.43,7,4,2223.37,42800.65,Medium,1
8181a8cc-3691-47eb-89a2-688b12c136e0,44,Male,Life,154046.93,22,3,2237.35,33184.44,Medium,0
5958a499-eeea-463e-a1e8-ac6843e42caf,70,Other,Auto,109159.16,1,1,2760.31,29509.02,Low,0
3e896c64-e117-4ac3-919c-4ea3e1805081,73,Male,Property,37948.11,29,3,569.06,7207.77,Medium,0
702cdd20-2862-48b8-88f4-ef125e9953d2,73,Other,Auto,33469.08,25,2,2023.53,34635.23,High,0
4d71c366-b41b-4143-8b10-550cd5704f32,59,Male,Life,173421.44,27,4,2210.04,15833.06,Low,0
ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,63,Female,Health,131142.7,7,5,3579.8,14368.95,High,0
aaf91531-0200-41f0-8768-a84fa76afde6,32,Other,Health,98114.86,3,5,3667.51,5025.36,High,0
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,28,Other,Life,182616.33,1,2,4082.65,14668.39,Low,0
e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,41,Female,Auto,63955.54,13,4,3568.1,9002.84,High,0
e3c43657-1d8c-4bac-83b4-09ef2260e70f,29,Male,Property,131547.87,7,3,4607.73,7155.89,Low,0
27cb6f2a-8da0-4097-be0f-051b1b66b5a9,47,Other,Life,102722.69,21,0,4545.09,23262.66,Low,0
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,36,Other,Auto,33295.14,30,2,4944.43,14957.71,Medium,0
afffcfd2-341e-440b-97c7-00aab7b56ea7,79,Female,Life,102230.45,9,1,4997.18,42666.77,Medium,1
81627cf1-4394-42e6-9a58-7e8aa25d6b29,24,Male,Property,122946.08,18,2,4967.11,14761.54,Medium,0
e87d1c78-e7c4-41c7-8049-7b717d106c60,80,Other,Property,69406.47,18,5,4002.4,48680.14,High,1
a2607723-17a0-4f49-8d01-280fd89a40c0,76,Other,Property,169911.0,28,2,3990.83,11505.92,Low,0
0b49452d-46d4-43f3-9450-281c6c6f7633,69,Female,Auto,134591.22,19,2,3549.94,36046.42,Medium,1
217d65a0-c568-41cd-9563-f61600e85ece,60,Other,Auto,133084.66,28,5,3408.53,15446.64,High,0
295d6fbf-430f-401d-bad4-09e2a319dcb4,46,Male,Life,151824.76,2,2,1970.24,20775.15,Low,0
b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,30,Male,Life,115553.43,29,2,4237.13,12848.5,Low,0
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,70,Female,Life,154380.68,10,0,2607.49,3764.97,Low,0
b0e6a969-e213-42b0-b1ee-dba313432e61,66,Male,Property,194108.55,25,4,2145.99,39534.1,Medium,1
093923de-8bab-4e3b-a628-6bfbe767dcea,18,Female,Health,101861.48,21,5,3525.53,29228.0,High,1
8d7248e2-951f-48d0-9e84-f058d5a804eb,70,Other,Life,39502.3,7,3,612.61,44211.74,High,1
0ab54bde-20a0-4502-ae06-809725e97977,53,Female,Auto,136577.43,20,3,4592.24,15109.51,Medium,0
eededb07-e623-4689-9d59-cd2a4eea04e7,44,Male,Auto,28162.43,1,2,4981.67,5806.02,Medium,0
0a368ce7-dc57-4131-b8e1-daa7cbceabde,33,Other,Auto,89956.25,11,5,4772.21,34824.2,High,1
ae9bec36-35c7-436c-9b99-62c6e61fecc0,52,Female,Auto,179374.48,20,0,4251.62,30782.61,Low,0
5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,78,Female,Health,144250.52,6,3,2501.13,11805.63,Medium,0
dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,41,Male,Life,118003.86,20,2,772.48,13794.07,Low,0
bfddc3d9-9ee3-4c2a-b94d-62046808593f,79,Male,Property,36501.22,6,5,3377.72,48554.67,High,1
3c9ad14c-ee0c-4eb5-acfe-db992790cebd,21,Female,Auto,197987.76,25,4,1423.43,41490.89,Medium,1
ccc56569-f9e8-4369-a999-b735dd56cc94,53,Male,Auto,166349.54,7,2,3984.66,39432.19,Medium,0
698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,56,Male,Life,174513.1,4,1,2930.97,39925.69,Low,1
ecab3301-bc8f-4d29-adea-94930658663a,25,Other,Health,43724.58,11,1,3149.84,789.05,Low,0
696608aa-ee49-4329-884a-7b28550a1b46,34,Male,Auto,153509.25,16,0,3855.49,23812.3,Low,0
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,67,Female,Health,101360.98,7,4,695.14,39161.35,High,1
28c13091-444d-410b-bf87-e362cf8d446a,73,Other,Life,102447.65,30,0,773.71,23949.1,Low,0
61ee411a-1bac-47a7-b386-f7a4c991603f,43,Female,Health,108248.39,29,3,830.71,4039.52,Low,0
787f2425-dbcc-4477-89e9-db0adf465290,56,Male,Health,42714.49,19,5,3134.14,35607.64,High,1
eb1fa9f2-d10b-41d0-b317-347038f16a81,42,Other,Life,101668.78,19,3,946.3,35088.97,High,0
d20eac17-4e20-4d1a-9983-36e375d66ed4,72,Other,Auto,97412.59,28,1,2362.16,41370.96,Medium,1
39118497-3a43-42ba-9f0f-06cbcb9bc326,43,Female,Health,76258.7,10,5,1647.0,47679.63,High,1
6601ddd0-3170-4437-a8f7-ef5a060edf5b,61,Female,Health,36420.46,2,0,2443.44,37229.45,Medium,0
11c58ef0-dd46-4c09-8752-87aa5408f9ac,41,Male,Health,125563.71,17,4,1983.41,6111.56,Medium,0
59e4b671-4774-4c58-85f8-bc16f7860b50,40,Other,Property,176256.59,23,0,4857.79,30020.5,Low,0
adf4e62d-6651-429e-8268-690ba43825b5,40,Male,Auto,47851.43,15,1,4312.74,17505.7,Medium,0
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,53,Female,Health,157269.01,18,1,4132.5,42257.76,Low,0
e08596db-1d87-4966-8710-d430f071d879,80,Other,Health,129619.08,21,5,1703.51,9020.8,Medium,0
94a1875d-2db6-4edb-82de-ffccf86c2ca2,62,Female,Life,83184.22,5,1,3048.44,20039.22,Medium,0
09cb3942-43f5-4a85-bbc9-f87af668a617,27,Other,Health,36516.38,16,1,2192.87,22682.29,Medium,0
587ef344-6f3f-420c-98b8-e4cc1bc044fc,28,Female,Life,149887.27,24,4,3183.01,44167.11,High,1
6fb78271-504d-481f-8953-5b63ba81edd9,27,Male,Health,141314.37,8,3,3478.72,24283.09,Medium,0
1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,46,Female,Life,58802.41,16,0,2053.28,5544.49,Low,0
30a900ad-939b-462d-a645-f129629c2ae3,61,Other,Property,114848.14,9,0,1492.33,49222.28,Low,0
6fa17735-b572-43d0-8b5c-ea6a41357e8c,21,Male,Auto,74255.49,6,1,3938.72,14472.36,Low,0
ce777f00-ecf2-4e76-8519-7ff4006ed6e3,25,Male,Property,154462.54,5,1,2210.93,35183.56,Low,0
f0b5156b-b82c-4074-afd5-dea589d7fd6c,50,Other,Life,32973.59,27,5,690.36,937.08,High,0
3270e4fa-abae-4f43-bcae-8081bdf070aa,76,Male,Life,123636.65,18,3,3692.75,20884.7,Medium,0
f2e9702d-11e9-4daa-ae69-81a35d3d9e56,25,Female,Health,193915.94,5,4,2570.44,34480.5,Medium,1
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,41,Male,Property,172007.18,7,3,3149.92,26198.13,Low,0
1fe771d6-d917-4793-a9d3-c2e6505cc686,43,Female,Life,59882.97,24,1,843.71,31661.23,Medium,0
81d2c7de-4ce1-4b90-a669-7833b841d0a0,51,Other,Auto,183066.09,11,2,3773.21,40947.43,Low,1
5380b904-688c-4015-aab9-7e494f2d4796,70,Male,Auto,38504.81,8,1,1280.75,7643.49,Medium,0
8dedf9fb-4bb0-4f20-b27c-40266703b636,66,Other,Health,51886.3,24,5,2723.53,37722.29,High,1
aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,66,Other,Property,142604.03,28,4,3393.46,49326.6,High,1
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,38,Other,Life,47172.33,2,3,2489.94,15141.02,High,0
91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,35,Other,Health,83349.6,2,2,2577.84,1880.36,Low,0
d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,41,Female,Health,136039.96,27,0,3267.54,25353.39,Low,0
35ce8841-4973-4d6c-8dca-bfb7001a9a8b,47,Other,Health,100952.07,25,4,3433.27,16076.34,High,0
9b4e2c24-9479-41e6-8927-7d9b6e0d2648,48,Other,Auto,192390.02,14,0,4149.35,41868.86,Low,0
7118e364-7709-4749-927e-ecfaa79ac9aa,80,Other,Health,110818.82,5,0,1614.85,21887.91,Low,0
82dc4c8e-36b5-429a-acf5-e81e71316269,46,Other,Auto,85501.63,29,2,2243.37,38723.24,High,0
f5b78cc7-e6b3-4944-8b32-3e357922bac2,61,Other,Health,162060.85,20,2,796.6,4725.3,Low,0
a8aa7158-2b70-4525-bc67-f831cbc84759,61,Female,Life,65359.24,27,5,4839.85,30135.04,High,1
a9f25336-83f4-49a9-88a6-39d015b52908,27,Female,Health,124893.11,4,2,1896.04,32802.74,Medium,0
17e8392a-55ce-45db-9e87-e04ca2086977,60,Female,Auto,127107.42,30,0,1893.12,18833.97,Low,0
3c20592f-c04a-46c4-b3b6-3fe1d1843324,68,Female,Auto,140620.95,26,5,4987.24,45622.4,High,1
ce7ae7f6-3982-4cff-8f77-a665ac3c5640,23,Other,Property,111527.93,0,2,1889.9,47558.47,High,0
0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,39,Female,Auto,60777.75,4,1,847.24,42221.42,Medium,0
9c7c7377-79a2-4903-bbe3-3b243eae0032,24,Other,Health,139147.26,28,4,1089.72,18835.99,Medium,0
74962764-12a4-4ef0-84bb-b7a9d98868dd,28,Male,Auto,149812.94,1,3,2139.35,35979.28,High,1
935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,80,Female,Life,155430.41,25,3,1553.01,11958.42,Low,0
624c69b6-b244-45a7-b7e5-848131c681ec,79,Female,Auto,86211.37,30,4,4929.98,23084.0,High,1
25c73c44-3e75-43b4-a64f-a6637e8f8095,36,Female,Property,193928.27,26,1,4105.67,6919.93,Low,0
e4855aa1-016b-4287-b008-05cca7f36ae9,34,Male,Property,177341.05,17,0,3701.3,25795.47,Low,0
e2add909-c521-4f2d-9c45-d539c03f3538,25,Female,Health,157361.03,8,3,4573.88,7367.43,Low,0
3805f907-6cd6-4193-8746-8f591b494e15,45,Male,Auto,167006.59,28,2,4687.12,20744.85,Low,0
b227462c-f53d-4330-8dda-24ba2d06e8cf,43,Other,Life,62440.05,2,2,1510.42,15934.24,Medium,0
8eb22579-0cdb-4ca4-b6ec-bdd68498e113,24,Other,Life,162448.51,4,0,1790.96,41488.08,Low,0
1f115b76-d92c-4227-aadf-50853fcb7546,62,Male,Property,100748.27,0,0,585.52,10782.74,Low,0
76f2dbfe-cd29-436f-a222-82e174daaebf,27,Other,Property,40013.63,9,1,1855.18,2387.47,Low,0
8f15ba58-fce6-4504-87f8-424daae65fc1,44,Other,Property,31305.29,26,3,3185.33,821.77,High,0
c1581092-f335-4ba3-913a-7052986f9025,50,Other,Auto,149337.98,9,3,507.04,17640.8,Low,0
d0a44432-9cd6-4852-b14c-7df4e4347d51,54,Female,Auto,139586.83,2,4,4885.95,3383.97,Medium,0
6d3ee1dc-8139-4443-a45b-712eb8225688,51,Other,Health,90281.67,15,0,3360.52,49051.97,Medium,0
722764e6-8c41-461b-a827-a1b9d4a02e53,34,Other,Health,84276.9,2,2,1585.07,32855.22,Medium,0
dc8aee30-be60-43f7-a8be-9288e5af6e39,24,Other,Life,44013.73,11,4,2023.46,32139.78,High,0
c074718e-425a-409f-b337-c59979844388,71,Other,Property,196547.45,15,5,1320.25,6742.63,Low,0
46fde062-a33d-47af-9701-410d3f4b1a70,63,Female,Health,72819.66,1,1,4486.06,15779.79,Low,0
7c0e8cd8-8573-4793-8715-b2b9c40c5d91,37,Other,Property,198042.09,17,3,1639.91,37664.55,Low,1
709b7d97-464c-44af-bd3f-3799a07295e9,30,Female,Life,175184.94,1,5,1993.66,6223.75,Medium,0
3c07c574-4925-4af1-b6aa-e05b13d5f2f7,41,Female,Property,153795.39,28,3,2025.66,9340.86,Low,0
e49d681d-51d8-4c64-95fa-1ab8458f1f19,62,Female,Life,186375.88,16,2,4105.17,36354.07,Low,0
269cd696-236c-4b87-94a0-bccb8a476a87,23,Female,Auto,118185.39,10,0,860.31,33045.96,Low,0
